      401	2020-06-01 05:55:38	1	0	1	0
      601	2020-06-01 06:59:02	1	0	2	0
      606	2020-06-01 07:20:09	1	0	2	0
      302	2020-06-01 07:21:13	1	0	0	0
     1171	2020-06-01 07:25:38	1	0	16	0
      612	2020-06-01 07:27:15	1	0	2	0
     1016	2020-06-01 07:34:47	1	0	1	0
      820	2020-06-01 07:37:19	1	0	0	0
     1135	2020-06-01 07:40:40	1	0	1	0
     1062	2020-06-01 07:41:29	1	0	1	0
     1117	2020-06-01 07:41:56	1	0	16	0
     1022	2020-06-01 07:43:18	1	0	1	0
      821	2020-06-01 07:44:56	1	0	16	0
     1136	2020-06-01 07:45:24	1	0	1	0
     1058	2020-06-01 07:45:32	1	0	1	0
     1066	2020-06-01 07:46:07	1	0	1	0
     1013	2020-06-01 07:46:35	1	0	1	0
     1014	2020-06-01 07:48:04	1	0	16	0
     1061	2020-06-01 07:52:00	1	0	1	0
     1040	2020-06-01 07:52:38	1	0	1	0
     1027	2020-06-01 07:52:48	1	0	1	0
     1141	2020-06-01 07:54:17	1	0	0	0
     1047	2020-06-01 07:55:24	1	0	1	0
      304	2020-06-01 07:55:42	1	0	0	0
      305	2020-06-01 07:56:57	1	0	0	0
      309	2020-06-01 07:59:17	1	0	1	0
     1154	2020-06-01 07:59:24	1	0	1	0
      702	2020-06-01 08:01:21	1	0	1	0
      819	2020-06-01 08:02:04	1	0	2	0
      608	2020-06-01 08:02:28	1	0	2	0
      823	2020-06-01 08:03:21	1	0	16	0
      826	2020-06-01 08:03:31	1	0	16	0
      620	2020-06-01 08:03:37	1	0	2	0
     1118	2020-06-01 08:04:55	1	0	1	0
     1146	2020-06-01 08:06:18	1	0	2	0
      810	2020-06-01 08:07:34	1	0	1	0
     1165	2020-06-01 08:07:55	1	0	1	0
      636	2020-06-01 08:08:59	1	0	2	0
     1164	2020-06-01 08:14:12	1	0	1	0
     1701	2020-06-01 08:14:16	1	0	2	0
     1702	2020-06-01 08:14:24	1	0	2	0
     1703	2020-06-01 08:14:40	1	0	2	0
     1703	2020-06-01 08:14:42	1	0	2	0
      307	2020-06-01 08:16:32	1	0	0	0
     1501	2020-06-01 08:18:12	1	0	2	0
      812	2020-06-01 08:26:19	1	0	2	0
      312	2020-06-01 10:50:44	1	0	2	0
     1603	2020-06-01 10:51:13	1	1	2	0
      313	2020-06-01 16:23:59	1	1	16	0
